Season,Squad,UCL_Progress,,,,
2010-2011,Barcelona,W,,,,
2010-2011,Manchester United,F,,,,
2010-2011,Real Madrid,SF,,,,
2010-2011,Schalke 04,SF,,,,
2010-2011,Shakhtar,QF,,,,
2010-2011,Chelsea,QF,,,,
2010-2011,Tottenham,QF,,,,
2010-2011,Inter,QF,,,,
2010-2011,Bayern Munich,R16,,,,
2010-2011,Arsenal,R16,,,,
2010-2011,FC Coppenhagen,R16,,,,
2010-2011,Marseille,R16,,,,
2010-2011,Valencia,R16,,,,
2010-2011,Lyon,R16,,,,
2010-2011,Roma,R16,,,,
2010-2011,Milan,R16,,,,
2010-2011,Braga,GR,,,,
2010-2011,Happel Tel Aviv,GR,,,,
2010-2011,Basel,GR,,,,
2010-2011,Partizan,GR,,,,
2010-2011,Ajax,GR,,,,
2010-2011,Spartak Moscow,GR,,,,
2010-2011,Werder Breman,GR,,,,
2010-2011,MSK Zilma,GR,,,,
2010-2011,Twente,GR,,,,
2010-2011,Rubin Kazan,GR,,,,
2010-2011,Rangers,GR,,,,
2010-2011,Benfica,GR,,,,
2010-2011,CFR Cluj,GR,,,,
2010-2011,Auxerre,GR,,,,
2010-2011,Panathinaikos,GR,,,,
2010-2011,Bursaspor,GR,,,,
2011-2012,Chelsea,W,,,,
2011-2012,Bayern Munich,F,,,,
2011-2012,Real Madrid,SF,,,,
2011-2012,Barcelona,SF,,,,
2011-2012,Benfica,QF,,,,
2011-2012,APOEL FC,QF,,,,
2011-2012,Milan,QF,,,,
2011-2012,Marseille,QF,,,,
2011-2012,Arsenal,R16,,,,
2011-2012,Lyon,R16,,,,
2011-2012,Napoli,R16,,,,
2011-2012,Basel,R16,,,,
2011-2012,Zenit,R16,,,,
2011-2012,Inter,R16,,,,
2011-2012,Leverkusen,R16,,,,
2011-2012,CSKA Moscow,R16,,,,
2011-2012,Viktoria Plzen,GR,,,,
2011-2012,Dinamo Zagreb,GR,,,,
2011-2012,Manchester City,GR,,,,
2011-2012,BATE Borisoy,GR,,,,
2011-2012,Manchester United,GR,,,,
2011-2012,Olympiacos,GR,,,,
2011-2012,Valencia,GR,,,,
2011-2012,Porto,GR,,,,
2011-2012,Ajax,GR,,,,
2011-2012,Trabzonspor,GR,,,,
2011-2012,Genk,GR,,,,
2011-2012,Lille,GR,,,,
2011-2012,Shakhtar,GR,,,,
2011-2012,Dortmund,GR,,,,
2011-2012,Villarreal,GR,,,,
2011-2012,Otelul Galati,GR,,,,
2012-2013,Bayern Munich,W,,,,
2012-2013,Dortmund,F,,,,
2012-2013,Real Madrid,SF,,,,
2012-2013,Barcelona,SF,,,,
2012-2013,Paris S-G,QF,,,,
2012-2013,Malaga,QF,,,,
2012-2013,Juventus,QF,,,,
2012-2013,Galatasaray,QF,,,,
2012-2013,Celtic,R16,,,,
2012-2013,Porto,R16,,,,
2012-2013,Valencia,R16,,,,
2012-2013,Schalke 04,R16,,,,
2012-2013,Manchester United,R16,,,,
2012-2013,Arsenal,R16,,,,
2012-2013,Shakhtar,R16,,,,
2012-2013,Milan',R16,,,,
2012-2013,CFR Cluj,GR,,,,
2012-2013,BATE Borisoy,GR,,,,
2012-2013,Dynamo Kviv,GR,,,,
2012-2013,Dinamo Zagreb,GR,,,,
2012-2013,Anderlecht,GR,,,,
2012-2013,Chelsea,GR,,,,
2012-2013,Olympiacos,GR,,,,
2012-2013,Benfica,GR,,,,
2012-2013,Zenit,GR,,,,
2012-2013,Spartak Moscow,GR,,,,
2012-2013,Braga,GR,,,,
2012-2013,Ajax,GR,,,,
2012-2013,Lille,GR,,,,
2012-2013,Manchester City,GR,,,,
2012-2013,Montepellier,GR,,,,
2012-2013,Nordsjaelland,GR,,,,
2013-2014,Real Madrid,W,,,,
2013-2014,Atletico Madrid,F,,,,
2013-2014,Bayern Munich,SF,,,,
2013-2014,Chelsea,SF,,,,
2013-2014,Paris S-G,QF,,,,
2013-2014,Barcelona,QF,,,,
2013-2014,Manchester United,QF,,,,
2013-2014,Dortmund,QF,,,,
2013-2014,Zenit,R16,,,,
2013-2014,Arsenal,R16,,,,
2013-2014,Manchester City,R16,,,,
2013-2014,Schalke 04,R16,,,,
2013-2014,Olympiacos,R16,,,,
2013-2014,Milan,R16,,,,
2013-2014,Leverkusen,R16,,,,
2013-2014,Galatasaray,R16,,,,
2013-2014,Victoria Pizen,GR,,,,
2013-2014,Basel,GR,,,,
2013-2014,Steaua,GR,,,,
2013-2014,Austria Wien,GR,,,,
2013-2014,Napoli,GR,,,,
2013-2014,Celtic,GR,,,,
2013-2014,Benfica,GR,,,,
2013-2014,Shakhtar,GR,,,,
2013-2014,Ajax,GR,,,,
2013-2014,Juventus,GR,,,,
2013-2014,Porto,GR,,,,
2013-2014,Real Sociedad,GR,,,,
2013-2014,FC Coppenhagen,GR,,,,
2013-2014,CSKA Moscow,GR,,,,
2013-2014,Anderlecht,GR,,,,
2013-2014,Marseille,GR,,,,
2014-2015,Barcelona,W,,,,
2014-2015,Juventus,F,,,,
2014-2015,Real Madrid,SF,,,,
2014-2015,Bayern Munich,SF,,,,
2014-2015,Porto,QF,,,,
2014-2015,Atletico Madrid,QF,,,,
2014-2015,Monaco,QF,,,,
2014-2015,Paris S-G,QF,,,,
2014-2015,Arsenal,R16,,,,
2014-2015,Leverkusen,R16,,,,
2014-2015,Chelsea,R16,,,,
2014-2015,Dortmund,R16,,,,
2014-2015,Schalke 04,R16,,,,
2014-2015,Shakhtar,R16,,,,
2014-2015,Manchester City,R16,,,,
2014-2015,Basel,R16,,,,
2014-2015,Zenit,GR,,,,
2014-2015,NK Maribor,GR,,,,
2014-2015,Ludogorets,GR,,,,
2014-2015,Malmo,GR,,,,
2014-2015,BATE Borisoy,GR,,,,
2014-2015,Athletic Club,GR,,,,
2014-2015,Olympiacos,GR,,,,
2014-2015,APOEL FC,GR,,,,
2014-2015,Sporting CP,GR,,,,
2014-2015,Anderlecht,GR,,,,
2014-2015,Ajax,GR,,,,
2014-2015,Liverpool,GR,,,,
2014-2015,Benfica,GR,,,,
2014-2015,Roma,GR,,,,
2014-2015,CSKA Moscow,GR,,,,
2014-2015,Galatasaray,GR,,,,
2015-2016,Real Madrid,W,,,,
2015-2016,Atletico Madrid,F,,,,
2015-2016,Bayern Munich,SF,,,,
2015-2016,Manchester City,SF,,,,
2015-2016,Barcelona,QF,,,,
2015-2016,Wolfsburg,QF,,,,
2015-2016,Paris S-G,QF,,,,
2015-2016,Benfica,QF,,,,
2015-2016,Zenit,R16,,,,
2015-2016,Chelsea,R16,,,,
2015-2016,Dynamo Kviv,R16,,,,
2015-2016,Juventus,R16,,,,
2015-2016,PSV Eindhoven,R16,,,,
2015-2016,Gent,R16,,,,
2015-2016,Arsenal,R16,,,,
2015-2016,Roma,R16,,,,
2015-2016,BATE Borisoy,GR,,,,
2015-2016,FC Astana,GR,,,,
2015-2016,Dinamo Zagreb,GR,,,,
2015-2016,Manchester United,GR,,,,
2015-2016,Malmo,GR,,,,
2015-2016,CSKA Moscow,GR,,,,
2015-2016,Shakhtar,GR,,,,
2015-2016,Porto,GR,,,,
2015-2016,Leverkusen,GR,,,,
2015-2016,Valencia,GR,,,,
2015-2016,Olympiacos,GR,,,,
2015-2016,Maccabi Tel Aviv,GR,,,,
2015-2016,Sevilla,GR,,,,
2015-2016,Gladbach,GR,,,,
2015-2016,Galatasaray,GR,,,,
2015-2016,Lyon,GR,,,,
2016-2017,Real Madrid,W,,,,
2016-2017,Juventus,F,,,,
2016-2017,Atletico Madrid,SF,,,,
2016-2017,Monaco,SF,,,,
2016-2017,Barcelona,QF,,,,
2016-2017,Bayern Munich,QF,,,,
2016-2017,Dortmund,QF,,,,
2016-2017,Leichester City,QF,,,,
2016-2017,Paris S-G,R16,,,,
2016-2017,Arsenal,R16,,,,
2016-2017,Sevilla,R16,,,,
2016-2017,Manchester City,R16,,,,
2016-2017,Porto,R16,,,,
2016-2017,Napoli,R16,,,,
2016-2017,Benfica,R16,,,,
2016-2017,Leverkusen,R16,,,,
2016-2017,FC Coppenhagen,GR,,,,
2016-2017,Lyon,GR,,,,
2016-2017,Tottenham,GR,,,,
2016-2017,Beskitas,GR,,,,
2016-2017,Dynamo Kviv,GR,,,,
2016-2017,Rostoy,GR,,,,
2016-2017,Gladbach,GR,,,,
2016-2017,Legia Warsaw,GR,,,,
2016-2017,Sporting CP,GR,,,,
2016-2017,CSKA Moscow,GR,,,,
2016-2017,Ludogorets,GR,,,,
2016-2017,Celtic,GR,,,,
2016-2017,PSV Eindhoven,GR,,,,
2016-2017,Basel,GR,,,,
2016-2017,Club Brugge,GR,,,,
2016-2017,Dinamo Zagreb,GR,,,,
2017-2018,Real Madrid,W,,,,
2017-2018,Liverpool,F,,,,
2017-2018,Bayern Munich,SF,,,,
2017-2018,Roma,SF,,,,
2017-2018,Barcelona,QF,,,,
2017-2018,Manchester City,QF,,,,
2017-2018,Juventus,QF,,,,
2017-2018,Sevilla,QF,,,,
2017-2018,Tottenham,R16,,,,
2017-2018,Manchester United,R16,,,,
2017-2018,Paris S-G,R16,,,,
2017-2018,Basel,R16,,,,
2017-2018,Shakhtar,R16,,,,
2017-2018,Beskitas,R16,,,,
2017-2018,Chelsea,R16,,,,
2017-2018,Porto,R16,,,,
2017-2018,CSKA Moscow,GR,,,,
2017-2018,Atletico Madrid,GR,,,,
2017-2018,RB Leipzig,GR,,,,
2017-2018,Sporting CP,GR,,,,
2017-2018,Napoli,GR,,,,
2017-2018,Spartak Moscow,GR,,,,
2017-2018,Feyenood,GR,,,,
2017-2018,Celtic,GR,,,,
2017-2018,NK Maribor,GR,,,,
2017-2018,Anderlecht,GR,,,,
2017-2018,Dortmund,GR,,,,
2017-2018,Monaco,GR,,,,
2017-2018,Qarabao,GR,,,,
2017-2018,APOEL FC,GR,,,,
2017-2018,Olympiacos,GR,,,,
2017-2018,Benfica,GR,,,,
2018-2019,Liverpool,W,,,,
2018-2019,Tottenham,F,,,,
2018-2019,Barcelona,SF,,,,
2018-2019,Ajax,SF,,,,
2018-2019,Manchester City,QF,,,,
2018-2019,Porto,QF,,,,
2018-2019,Juventus,QF,,,,
2018-2019,Manchester United,QF,,,,
2018-2019,Atletico Madrid,R16,,,,
2018-2019,Bayern Munich,R16,,,,
2018-2019,Real Madrid,R16,,,,
2018-2019,Paris S-G,R16,,,,
2018-2019,Dortmund,R16,,,,
2018-2019,Roma,R16,,,,
2018-2019,Schalke 04,R16,,,,
2018-2019,Lyon,R16,,,,
2018-2019,Napoli,GR,,,,
2018-2019,Valencia,GR,,,,
2018-2019,Inter,GR,,,,
2018-2019,CSKA Moscow,GR,,,,
2018-2019,Benfica,GR,,,,
2018-2019,Victoria Pizen,GR,,,,
2018-2019,Club Brugge,GR,,,,
2018-2019,Shakhtar,GR,,,,
2018-2019,Galatasaray,GR,,,,
2018-2019,Young Boys,GR,,,,
2018-2019,Red Star,GR,,,,
2018-2019,Hoffenheim,GR,,,,
2018-2019,Loko Moscow,GR,,,,
2018-2019,PSV Eindhoven,GR,,,,
2018-2019,Monaco,GR,,,,
2018-2019,AEK Athens,GR,,,,
2019-2020,Bayern Munich,W,,,,
2019-2020,Paris S-G,F,,,,
2019-2020,RB Leipzig,SF,,,,
2019-2020,Lyon,SF,,,,
2019-2020,Manchester City,QF,,,,
2019-2020,Barcelona,QF,,,,
2019-2020,Atletico Madrid,QF,,,,
2019-2020,Atalanta,QF,,,,
2019-2020,Juventus,R16,,,,
2019-2020,Napoli,R16,,,,
2019-2020,Liverpool,R16,,,,
2019-2020,Dortmund,R16,,,,
2019-2020,Real Madrid,R16,,,,
2019-2020,Valencia,R16,,,,
2019-2020,Chelsea,R16,,,,
2019-2020,Tottenham,R16,,,,
2019-2020,Ajax,GR,,,,
2019-2020,RB Salzburg,GR,,,,
2019-2020,Inter,GR,,,,
2019-2020,Benfica,GR,,,,
2019-2020,Zenit,GR,,,,
2019-2020,Leverkusen,GR,,,,
2019-2020,Shakhtar,GR,,,,
2019-2020,Dinamo Zagreb,GR,,,,
2019-2020,Olympiacos,GR,,,,
2019-2020,Loko Moscow,GR,,,,
2019-2020,Club Brugge,GR,,,,
2019-2020,Red Star,GR,,,,
2019-2020,Slavia Prague,GR,,,,
2019-2020,Galatasaray,GR,,,,
2019-2020,Lille,GR,,,,
2019-2020,GenK,GR,,,,
2020-2021,Chelsea,W,,,,
2020-2021,Manchester City,F,,,,
2020-2021,Real Madrid,SF,,,,
2020-2021,Paris S-G,SF,,,,
2020-2021,Bayern Munich,QF,,,,
2020-2021,Liverpool,QF,,,,
2020-2021,Porto,QF,,,,
2020-2021,Dortmund,QF,,,,
2020-2021,Juventus,R16,,,,
2020-2021,Barcelona,R16,,,,
