UCL_progress,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes,Season
W,es  Barcelona,13,8,4,1,30,9,21,28,Lionel Messi - 12,Víctor Valdés,→ Champions League via playoff win,2010-2011
F,eng  Manchester Utd,13,6,6,1,19,7,12,24,"Javier Hernández, Wayne Rooney - 4",Edwin van der Sar,,2010-2011
SF,es  Real Madrid,12,7,4,1,25,6,19,25,"Karim Benzema, Cristiano Ronaldo - 6",Iker Casillas,,2010-2011
SF,de  Schalke 04,12,5,4,3,22,14,8,19,Raúl - 5,Manuel Neuer,,2010-2011
QF,ua  Shakhtar,10,6,2,2,19,14,5,20,"Eduardo da Silva, Luiz Adriano - 4",Andriy Pyatov,,2010-2011
QF,eng  Chelsea,10,6,1,3,17,7,10,19,Nicolas Anelka - 7,Petr Čech,,2010-2011
QF,eng  Tottenham,12,4,5,3,25,19,6,17,"Gareth Bale, Peter Crouch - 4",Heurelho Gomes,,2010-2011
QF,it  Inter,10,4,1,5,18,21,-3,13,Samuel Eto'o - 8,Júlio César,,2010-2011
R16,de  Bayern Munich,8,6,1,1,19,9,10,19,Mario Gómez - 8,"Hans-Jörg Butt, Thomas Kraft",,2010-2011
R16,eng  Arsenal,8,5,0,3,21,11,10,15,"Cesc Fàbregas, Andrey Arshavin... - 3",Łukasz Fabiański,,2010-2011
R16,dk  FC Copenhagen,12,3,5,4,12,11,1,14,"Dame N'Doye, Martin Vingaard - 2",Johan Wiland,,2010-2011
R16,fr  Marseille,8,4,1,3,13,5,8,13,André-Pierre Gignac - 3,Steve Mandanda,,2010-2011
R16,es  Valencia,8,3,3,2,17,8,9,12,Roberto Soldado - 6,César Sánchez,,2010-2011
R16,fr  Lyon,8,3,2,3,12,14,-2,11,Michel Bastos - 3,Hugo Lloris,,2010-2011
R16,it  Roma,8,3,1,4,12,17,-5,10,Marco Borriello - 4,"Bogdan Lobonț, Júlio Sérgio",,2010-2011
R16,it  Milan,8,2,3,3,7,8,-1,9,Zlatan Ibrahimović - 4,Christian Abbiati,,2010-2011
GR,pt  Braga,10,6,0,4,14,16,-2,18,Matheus Leite Nascimento - 3,Felipe,,2010-2011
GR,il  Hapoel Tel Aviv,12,4,4,4,20,15,5,16,Eran Zahavi - 3,Vincent Enyeama,,2010-2011
GR,ch  Basel,10,5,1,4,17,12,5,16,Alexander Frei - 3,Franco Costanzo,,2010-2011
GR,rs  Partizan,12,4,2,6,15,19,-4,14,Cléo - 2,Vladimir Stojković,,2010-2011
GR,nl  Ajax,10,2,5,3,13,16,-3,11,"Toby Alderweireld, Demy de Zeeuw - 2",Maarten Stekelenburg,,2010-2011
GR,ru  Spartak Moscow,6,3,0,3,7,10,-3,9,"Ari, Ibson - 2",Andriy Dykan,,2010-2011
GR,de  Werder Bremen,8,2,2,4,11,16,-5,8,Marko Arnautović - 2,Tim Wiese,,2010-2011
