Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Top Team Scorer,Goalkeeper,Notes
1,Arsenal,7,5,1,1,14,3,11,16,2.29,Viktor Gyökeres - 3,David Raya,
2,Liverpool,7,5,0,2,13,9,4,15,2.14,Hugo Ekitike - 3,Alisson,
3,Tottenham,7,4,2,1,13,5,8,14,2,Richarlison - 3,Guglielmo Vicario,
4,Bournemouth,7,4,2,1,11,8,3,14,2,Antoine Semenyo - 6,Đorđe Petrović,
5,Manchester City,7,4,1,2,15,6,9,13,1.86,Erling Haaland - 9,Gianluigi Donnarumma,
6,Crystal Palace,7,3,3,1,9,5,4,12,1.71,Ismaila Sarr - 3,Dean Henderson,
7,Chelsea,7,3,2,2,13,9,4,11,1.57,"Enzo Fernández, Moisés Caicedo - 3",Robert Sánchez,
8,Everton,7,3,2,2,9,7,2,11,1.57,Iliman Ndiaye - 3,Jordan Pickford,
9,Sunderland,7,3,2,2,7,6,1,11,1.57,Wilson Isidor - 3,Robin Roefs,
10,Manchester Utd,7,3,1,3,9,11,-2,10,1.43,"Bruno Fernandes, Benjamin Šeško - 2",Altay Bayındır,
11,Newcastle Utd,7,2,3,2,6,5,1,9,1.29,Nick Woltemade - 3,Nick Pope,
12,Brighton,7,2,3,2,10,10,0,9,1.29,Danny Welbeck - 2,Bart Verbruggen,
13,Aston Villa,7,2,3,2,6,7,-1,9,1.29,Donyell Malen - 2,Emiliano Martínez,
14,Fulham,7,2,2,3,8,11,-3,8,1.14,"Raúl Jiménez, Alex Iwobi... - 1",Bernd Leno,
15,Leeds United,7,2,2,3,7,11,-4,8,1.14,Noah Okafor - 2,Karl Darlow,
16,Brentford,7,2,1,4,9,12,-3,7,1,Thiago - 4,Caoimhín Kelleher,
17,Nott'ham Forest,7,1,2,4,5,12,-7,5,0.71,Chris Wood - 2,Matz Sels,
18,Burnley,7,1,1,5,7,15,-8,4,0.57,Jaidon Anthony - 4,Martin Dúbravka,
19,West Ham,7,1,1,5,6,16,-10,4,0.57,Jarrod Bowen - 3,Mads Hermansen,
20,Wolves,7,0,2,5,5,14,-9,2,0.29,"Hwang Hee-chan, Santiago Bueno... - 1",José Sá,
1,Real Madrid,8,7,0,1,19,9,10,21,2.63,Kylian Mbappé - 9,Thibaut Courtois,
2,Barcelona,8,6,1,1,22,9,13,19,2.38,"Robert Lewandowski, Ferrán Torres - 4",Joan García,
3,Villarreal,8,5,1,2,14,8,6,16,2,Tajon Buchanan - 3,Luiz Lúcio Reis Júnior,
4,Betis,8,4,3,1,13,8,5,15,1.88,Cucho - 4,Pau López,
5,Espanyol,9,4,3,2,13,11,2,15,1.67,Pere Milla - 4,Marko Dmitrović,
6,Atlético Madrid,8,3,4,1,15,10,5,13,1.63,Julián Álvarez - 6,Jan Oblak,
7,Sevilla,8,4,1,3,15,11,4,13,1.63,Isaac Romero - 3,"Odysseas Vlachodimos, Ørjan Nyland",
8,Elche,8,3,4,1,11,9,2,13,1.63,André Silva - 4,Matías Dituro,
9,Athletic Club,8,4,1,3,9,9,0,13,1.63,"Iñaki Williams, Roberto Navarro... - 1",Unai Simón,
10,Alavés,8,3,2,3,9,8,1,11,1.38,Carlos Vicente - 3,Antonio Sivera,
11,Getafe,8,3,2,3,9,11,-2,11,1.38,Adrián Liso - 3,David Soria,
12,Osasuna,8,3,1,4,7,8,-1,10,1.25,Ante Budimir - 2,Sergio Herrera,
13,Levante,8,2,2,4,13,14,-1,8,1,"Iván Romero, Karl Etta Eyong - 4",Mathew Ryan,
14,Rayo Vallecano,8,2,2,4,8,10,-2,8,1,"Álvaro García, Jorge de Frutos - 2",Augusto Batalla,
15,Valencia,8,2,2,4,10,14,-4,8,1,"Arnaut Danjuma, Hugo Duro - 3",Julen Agirrezabala,
16,Celta Vigo,8,0,6,2,7,10,-3,6,0.75,Borja Iglesias - 4,Ionuț Radu,
17,Girona,8,1,3,4,5,17,-12,6,0.75,Vladyslav Vanat - 2,Paulo Gazzaniga,
18,Oviedo,9,2,0,7,4,16,-12,6,0.67,"Salomón Rondón, Leander Dendoncker... - 1",Aarón Escandell,
19,Real Sociedad,8,1,2,5,7,12,-5,5,0.63,Mikel Oyarzabal - 2,Álex Remiro,
20,Mallorca,8,1,2,5,7,13,-6,5,0.63,Vedat Muriqi - 4,Leo Román,
1,Bayern Munich,6,6,0,0,25,3,22,18,3,Harry Kane - 11,Manuel Neuer,
2,Dortmund,6,4,2,0,12,4,8,14,2.33,Serhou Guirassy - 4,Gregor Kobel,
3,RB Leipzig,6,4,1,1,8,8,0,13,2.17,"Christoph Baumgartner, Johan Bakayoko... - 2",Péter Gulácsi,
4,Stuttgart,6,4,0,2,8,6,2,12,2,Ermedin Demirović - 3,Alexander Nübel,
5,Leverkusen,6,3,2,1,12,8,4,11,1.83,Patrik Schick - 3,Mark Flekken,
6,Köln,6,3,1,2,11,9,2,10,1.67,Jakub Kamiński - 3,Marvin Schwäbe,
7,Union Berlin,7,3,1,3,11,14,-3,10,1.43,Ilyas Ansah - 4,Frederik Rønnow,
8,Eint Frankfurt,6,3,0,3,17,16,1,9,1.5,Can Uzun - 5,"Michael Zetterer, Kauã Santos",
9,Freiburg,6,2,2,2,9,9,0,8,1.33,"Vincenzo Grifo, Igor Matanovic - 2",Noah Atubolu,
10,Hamburger SV,6,2,2,2,6,8,-2,8,1.33,Rayan Philippe - 3,Daniel Heuer Fernandes,
11,St. Pauli,6,2,1,3,8,9,-1,7,1.17,Andreas Hountondji - 3,Nikola Vasilj,
12,Hoffenheim,6,2,1,3,9,12,-3,7,1.17,Fisnik Asllani - 4,Oliver Baumann,
13,Werder Bremen,6,2,1,3,9,14,-5,7,1.17,"Romano Schmid, Justin Njinmah... - 2",Mio Backhaus,
14,Augsburg,6,2,0,4,11,13,-2,6,1,Mert Kömür - 2,Finn Dahmen,
15,Wolfsburg,6,1,2,3,8,10,-2,5,0.83,Mohamed Amoura - 2,Kamil Grabara,
16,Mainz 05,6,1,1,4,5,10,-5,4,0.67,"Dominik Kohr, Nadiem Amiri... - 1",Robin Zentner,
17,Heidenheim,6,1,0,5,4,11,-7,3,0.5,"Sirlord Conteh, Mikkel Kaufmann... - 1",Diant Ramaj,
18,Gladbach,7,0,3,4,6,15,-9,3,0.43,Haris Tabakovic - 3,Moritz Nicolas,
1,Napoli,6,5,0,1,12,6,6,15,2.5,Kevin De Bruyne - 3,Alex Meret,
2,Roma,6,5,0,1,7,2,5,15,2.5,Matìas Soulé - 3,Mile Svilar,
3,Milan,6,4,1,1,9,3,6,13,2.17,Christian Pulisic - 4,Mike Maignan,
4,Inter,6,4,0,2,17,8,9,12,2,"Marcus Thuram, Lautaro Martínez - 3",Yann Sommer,
5,Juventus,6,3,3,0,9,5,4,12,2,Dušan Vlahović - 2,Michele Di Gregorio,
6,Atalanta,6,2,4,0,11,5,6,10,1.67,"Nikola Krstović, Charles De Ketelaere... - 2",Marco Carnesecchi,
7,Bologna,6,3,1,2,9,5,4,10,1.67,Riccardo Orsolini - 4,Łukasz Skorupski,
8,Como,6,2,3,1,7,5,2,9,1.5,Nicolás Paz - 3,Jean Butez,
9,Sassuolo,6,3,0,3,8,8,0,9,1.5,Andrea Pinamonti - 2,Arijanet Muric,
10,Cremonese,6,2,3,1,7,8,-1,9,1.5,"Federico Bonazzoli, Federico Baschirotto - 2",Emil Audero,
11,Cagliari,6,2,2,2,6,6,0,8,1.33,Andrea Belotti - 2,Elia Caprile,
12,Udinese,6,2,2,2,6,9,-3,8,1.33,Keinan Davis - 2,Razvan Sava,
13,Lazio,6,2,1,3,10,7,3,7,1.17,Matteo Cancellieri - 3,Ivan Provedel,
14,Parma,6,1,2,3,3,7,-4,5,0.83,Mateo Pellegrino - 2,Zion Suzuki,
