Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,David Abraham,ar ARG,DF,Eint Frankfurt,34,1986,14,14,"1,222",13.6,1,0,1,1,0,0,5,1,0.6,0.6,0.4,1,12,55,21,0.07,0,0.07,0.07,0.07,0.04,0.03,0.07,0.04,0.07,Matches,2020-2021
2,Amir Abrashi,al ALB,"MF,DF",Freiburg,30,1990,5,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
3,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,22,1998,7,0,100,1.1,1,0,1,1,0,0,1,0,0.1,0.1,0,0.1,3,3,12,0.9,0,0.9,0.9,0.9,0.13,0,0.13,0.13,0.13,Matches,2020-2021
4,Tyler Adams,us USA,"MF,DF",RB Leipzig,21,1999,27,21,"1,850",20.6,1,1,2,1,0,0,3,0,1.3,1.3,0.9,2.2,27,113,70,0.05,0.05,0.1,0.05,0.1,0.07,0.04,0.11,0.07,0.11,Matches,2020-2021
5,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27,1993,18,3,479,5.3,2,3,5,2,0,0,2,0,2.1,2.1,2.3,4.5,20,17,58,0.38,0.56,0.94,0.38,0.94,0.4,0.44,0.84,0.4,0.84,Matches,2020-2021
6,Felix Agu,ng NGA,DF,Werder Bremen,20,1999,15,8,701,7.8,1,0,1,1,0,0,0,0,0.6,0.6,0.5,1.1,7,9,33,0.13,0,0.13,0.13,0.13,0.08,0.06,0.14,0.08,0.14,Matches,2020-2021
7,Naouirou Ahamada,fr FRA,MF,Stuttgart,18,2002,6,3,252,2.8,0,0,0,0,0,0,2,1,0.2,0.2,0,0.3,8,11,3,0,0,0,0,0,0.08,0.01,0.09,0.08,0.09,Matches,2020-2021
8,Manuel Akanji,ch SUI,DF,Dortmund,25,1995,28,26,"2,350",26.1,2,0,2,2,0,0,4,0,1.7,1.7,0.3,2,26,159,7,0.08,0,0.08,0.08,0.08,0.06,0.01,0.08,0.06,0.08,Matches,2020-2021
9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,25,1995,16,14,"1,184",13.2,1,0,1,1,0,0,1,0,0.1,0.1,0.4,0.5,10,56,14,0.08,0,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,Matches,2020-2021
10,David Alaba,at AUT,"DF,MF",Bayern Munich,28,1992,32,30,"2,675",29.7,2,4,6,2,0,0,4,0,1.2,1.2,2.1,3.3,56,242,70,0.07,0.13,0.2,0.07,0.2,0.04,0.07,0.11,0.04,0.11,Matches,2020-2021
11,Lucas Alario,ar ARG,FW,Leverkusen,27,1992,25,12,"1,245",13.8,11,2,13,9,2,2,2,0,7.2,5.7,0.9,6.6,7,21,75,0.8,0.14,0.94,0.65,0.8,0.52,0.07,0.59,0.41,0.48,Matches,2020-2021
12,Omar Alderete,py PAR,DF,Hertha BSC,23,1996,17,14,"1,299",14.4,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,8,55,3,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches,2020-2021
13,Nadiem Amiri,de GER,MF,Leverkusen,23,1996,29,20,"1,890",21,2,6,8,2,0,0,5,0,2.2,2.2,3.1,5.3,45,113,82,0.1,0.29,0.38,0.1,0.38,0.1,0.15,0.25,0.1,0.25,Matches,2020-2021
14,Sebastian Andersson,se SWE,FW,Köln,29,1991,16,14,"1,126",12.5,3,0,3,2,1,1,1,0,6.2,5.4,0.3,5.7,6,20,55,0.24,0,0.24,0.16,0.16,0.49,0.03,0.52,0.43,0.46,Matches,2020-2021
15,Robert Andrich,de GER,MF,Union Berlin,25,1994,29,29,"2,526",28.1,5,2,7,5,0,0,5,1,2.6,2.6,2,4.5,25,128,31,0.18,0.07,0.25,0.18,0.25,0.09,0.07,0.16,0.09,0.16,Matches,2020-2021
16,Angeliño,es ESP,"DF,FW",RB Leipzig,23,1997,26,24,"2,161",24,4,4,8,4,0,0,2,0,4.2,4.2,5.5,9.7,47,93,242,0.17,0.17,0.33,0.17,0.33,0.17,0.23,0.4,0.17,0.4,Matches,2020-2021
17,Waldemar Anton,de GER,DF,Stuttgart,24,1996,31,30,"2,711",30.1,0,1,1,0,0,0,3,0,1.3,1.3,0.9,2.2,24,116,12,0,0.03,0.03,0,0.03,0.04,0.03,0.07,0.04,0.07,Matches,2020-2021
18,Charles Aránguiz,cl CHI,MF,Leverkusen,31,1989,21,20,"1,669",18.5,0,0,0,0,0,0,4,0,0.6,0.6,0.6,1.1,11,119,18,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Matches,2020-2021
19,Santiago Arias,co COL,DF,Leverkusen,28,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,5,4,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches,2020-2021
20,Maximilian Arnold,de GER,MF,Wolfsburg,26,1994,30,30,"2,585",28.7,3,6,9,3,0,0,7,1,2.4,2.4,4.2,6.6,30,180,33,0.1,0.21,0.31,0.1,0.31,0.08,0.15,0.23,0.08,0.23,Matches,2020-2021
21,Tolu Arokodare,ng NGA,"FW,MF",Köln,19,2000,10,0,112,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,1,4,11,0,0,0,0,0,0.2,0.2,0.4,0.2,0.4,Matches,2020-2021
22,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,23,1997,13,8,762,8.5,1,0,1,1,0,0,2,0,0.3,0.3,0.3,0.6,7,31,8,0.12,0,0.12,0.12,0.12,0.03,0.03,0.07,0.03,0.07,Matches,2020-2021
23,Ludwig Augustinsson,se SWE,"DF,FW",Werder Bremen,26,1994,23,21,"1,957",21.7,0,4,4,0,0,0,4,0,0.9,0.9,2.7,3.6,38,60,108,0,0.18,0.18,0,0.18,0.04,0.13,0.17,0.04,0.17,Matches,2020-2021
24,Taiwo Awoniyi,ng NGA,FW,Union Berlin,22,1997,21,16,"1,359",15.1,5,2,7,5,0,0,0,0,6.1,6.1,1.3,7.4,19,16,108,0.33,0.13,0.46,0.33,0.46,0.4,0.08,0.49,0.4,0.49,Matches,2020-2021
25,Mehmet Aydin,de GER,DF,Schalke 04,18,2002,6,6,500,5.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,6,7,10,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches,2020-2021
26,Leon Bailey,jm JAM,"FW,MF",Leverkusen,22,1997,30,25,"2,141",23.8,9,8,17,9,0,0,6,0,6.2,6.2,6,12.2,112,63,254,0.38,0.34,0.71,0.38,0.71,0.26,0.25,0.51,0.26,0.51,Matches,2020-2021
27,Ridle Baku,de GER,"FW,DF",Wolfsburg,22,1998,32,31,"2,678",29.8,6,7,13,6,0,0,1,0,3.4,3.4,4.1,7.6,69,104,243,0.2,0.24,0.44,0.2,0.44,0.12,0.14,0.25,0.12,0.25,Matches,2020-2021
28,Ridle Baku,de GER,DF,Mainz 05,22,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,7,11,7,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
29,Philipp Bargfrede,de GER,MF,Werder Bremen,31,1989,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
30,Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,22,1998,26,9,977,10.9,2,3,5,2,0,0,5,0,1.9,1.9,3.2,5,30,46,76,0.18,0.28,0.46,0.18,0.46,0.17,0.29,0.47,0.17,0.47,Matches,2020-2021
31,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,20,2000,29,27,"2,303",25.6,2,2,4,2,0,0,5,0,4.5,4.5,2.7,7.1,11,76,42,0.08,0.08,0.16,0.08,0.16,0.17,0.1,0.28,0.17,0.28,Matches,2020-2021
32,Jacob Barrett Laursen,dk DEN,DF,Arminia,25,1994,16,13,"1,108",12.3,0,1,1,0,0,0,1,0,0.1,0.1,1.1,1.2,13,30,20,0,0.08,0.08,0,0.08,0.01,0.09,0.1,0.01,0.1,Matches,2020-2021
33,Oliver Baumann,de GER,GK,Hoffenheim,30,1990,31,31,"2,790",31,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
34,Julian Baumgartlinger,at AUT,MF,Leverkusen,32,1988,17,12,"1,072",11.9,2,0,2,2,0,0,1,0,1,1,0.2,1.2,3,51,8,0.17,0,0.17,0.17,0.17,0.08,0.01,0.1,0.08,0.1,Matches,2020-2021
35,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,20,1999,31,28,"2,369",26.3,6,3,9,6,0,0,6,0,5.9,5.9,3.5,9.4,68,110,133,0.23,0.11,0.34,0.23,0.34,0.23,0.13,0.36,0.23,0.36,Matches,2020-2021
36,Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,23,1996,5,0,36,0.4,0,1,1,0,0,0,1,0,0,0,0.7,0.7,1,0,4,0,2.5,2.5,0,2.5,0,1.85,1.85,0,1.85,Matches,2020-2021
37,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,26,1994,32,23,"2,200",24.4,9,7,16,9,0,0,3,0,9.9,9.9,5,14.8,70,52,225,0.37,0.29,0.65,0.37,0.65,0.4,0.2,0.61,0.4,0.61,Matches,2020-2021
38,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,25,1995,18,15,"1,106",12.3,3,3,6,3,0,0,2,0,1.5,1.5,3.1,4.6,61,22,87,0.24,0.24,0.49,0.24,0.49,0.12,0.25,0.37,0.12,0.37,Matches,2020-2021
39,Timo Becker,de GER,DF,Schalke 04,23,1997,20,18,"1,640",18.2,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,21,44,48,0,0,0,0,0,0.01,0.02,0.04,0.01,0.04,Matches,2020-2021
40,Brian Behrendt,de GER,DF,Arminia,28,1991,3,0,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,2020-2021
41,Maximilian Beier,de GER,"FW,DF",Hoffenheim,17,2002,3,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
42,Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,28,1992,14,7,596,6.6,0,1,1,0,0,0,0,0,1.5,1.5,0.9,2.4,9,8,54,0,0.15,0.15,0,0.15,0.23,0.13,0.36,0.23,0.36,Matches,2020-2021
43,Stefan Bell,de GER,DF,Mainz 05,28,1991,16,16,"1,266",14.1,1,1,2,1,0,0,6,0,0.5,0.5,0.8,1.3,1,25,3,0.07,0.07,0.14,0.07,0.14,0.04,0.06,0.09,0.04,0.09,Matches,2020-2021
44,Karim Bellarabi,de GER,"FW,MF",Leverkusen,30,1990,22,7,798,8.9,0,0,0,0,0,0,2,0,1.8,1.8,2.6,4.4,42,25,109,0,0,0,0,0,0.2,0.29,0.5,0.2,0.5,Matches,2020-2021
45,Jude Bellingham,eng ENG,MF,Dortmund,17,2003,29,19,"1,697",18.9,1,3,4,1,0,0,6,1,2.5,2.5,3.2,5.8,28,93,80,0.05,0.16,0.21,0.05,0.21,0.13,0.17,0.31,0.13,0.31,Matches,2020-2021
46,Lars Bender,de GER,DF,Leverkusen,31,1989,14,12,936,10.4,1,2,3,0,1,1,2,0,1.7,0.9,0.6,1.5,15,55,31,0.1,0.19,0.29,0,0.19,0.16,0.06,0.22,0.08,0.14,Matches,2020-2021
47,Sven Bender,de GER,DF,Leverkusen,31,1989,18,14,"1,170",13,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,42,2,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches,2020-2021
48,László Bénes,sk SVK,MF,Augsburg,22,1997,12,9,660,7.3,1,1,2,1,0,0,3,0,0.5,0.5,0.9,1.3,7,19,20,0.14,0.14,0.27,0.14,0.27,0.07,0.12,0.18,0.07,0.18,Matches,2020-2021
49,László Bénes,sk SVK,MF,Gladbach,22,1997,7,1,150,1.7,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,2,7,6,0,0.6,0.6,0,0.6,0.03,0.14,0.17,0.03,0.17,Matches,2020-2021
50,Ramy Bensebaini,dz ALG,DF,Gladbach,25,1995,25,20,"1,811",20.1,4,0,4,3,1,1,7,0,2.3,1.6,1.2,2.7,27,83,64,0.2,0,0.2,0.15,0.15,0.12,0.06,0.17,0.08,0.14,Matches,2020-2021
51,Nabil Bentaleb,dz ALG,MF,Schalke 04,25,1994,9,6,548,6.1,0,0,0,0,0,1,2,0,0.8,0,0,0,6,29,5,0,0,0,0,0,0.13,0.01,0.14,0,0.01,Matches,2020-2021
52,Jordan Beyer,de GER,DF,Gladbach,20,2000,4,2,188,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
53,Bartosz Białek,pl POL,"FW,MF",Wolfsburg,18,2001,19,1,270,3,2,0,2,2,0,0,1,0,1.9,1.9,0.2,2.1,3,12,15,0.67,0,0.67,0.67,0.67,0.64,0.07,0.71,0.64,0.71,Matches,2020-2021
54,Ermin Bičakčić,ba BIH,DF,Hoffenheim,30,1990,2,2,128,1.4,1,0,1,1,0,0,1,0,0.4,0.4,0,0.4,0,4,0,0.7,0,0.7,0.7,0.7,0.25,0,0.25,0.25,0.25,Matches,2020-2021
55,Leonardo Bittencourt,de GER,"MF,FW",Werder Bremen,26,1993,27,19,"1,514",16.8,4,1,5,3,1,1,3,0,4.3,3.6,1,4.6,40,42,106,0.24,0.06,0.3,0.18,0.24,0.26,0.06,0.32,0.21,0.27,Matches,2020-2021
56,Jérôme Boateng,de GER,DF,Bayern Munich,31,1988,29,29,"2,368",26.3,1,1,2,1,0,0,6,0,0.4,0.4,0.5,0.9,8,184,7,0.04,0.04,0.08,0.04,0.08,0.01,0.02,0.03,0.01,0.03,Matches,2020-2021
57,Jean-Paul Boëtius,sr SUR,"MF,FW",Mainz 05,26,1994,31,23,"2,065",22.9,2,4,6,2,0,0,5,0,2.6,2.6,6.1,8.7,33,109,96,0.09,0.17,0.26,0.09,0.26,0.11,0.27,0.38,0.11,0.38,Matches,2020-2021
58,Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,18,2002,9,2,277,3.1,0,1,1,0,0,0,1,0,0.2,0.2,0.2,0.4,5,18,9,0,0.32,0.32,0,0.32,0.05,0.08,0.13,0.05,0.13,Matches,2020-2021
59,Elias Bördner,de GER,GK,Eint Frankfurt,18,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
60,Dennis Borkowski,de GER,"MF,FW",RB Leipzig,18,2002,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
61,Sebastiaan Bornauw,be BEL,DF,Köln,21,1999,24,23,"2,083",23.1,1,1,2,1,0,0,3,0,1.5,1.5,0,1.5,4,43,4,0.04,0.04,0.09,0.04,0.09,0.07,0,0.07,0.06,0.06,Matches,2020-2021
62,Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,21,1999,12,6,605,6.7,1,0,1,1,0,0,2,0,1.6,1.6,0.2,1.8,9,22,29,0.15,0,0.15,0.15,0.15,0.23,0.03,0.26,0.23,0.26,Matches,2020-2021
63,Dedryck Boyata,be BEL,DF,Hertha BSC,29,1990,19,17,"1,545",17.2,1,0,1,1,0,0,3,0,0.6,0.6,0.8,1.4,2,44,3,0.06,0,0.06,0.06,0.06,0.04,0.04,0.08,0.04,0.08,Matches,2020-2021
64,Can Bozdogan,de GER,"MF,FW",Schalke 04,19,2001,14,5,651,7.2,0,2,2,0,0,0,0,0,0.5,0.5,0.7,1.2,9,16,18,0,0.28,0.28,0,0.28,0.07,0.09,0.17,0.07,0.17,Matches,2020-2021
65,Julian Brandt,de GER,"FW,MF",Dortmund,24,1996,31,17,"1,495",16.6,3,2,5,3,0,0,0,0,2.2,2.2,2.3,4.6,39,102,142,0.18,0.12,0.3,0.18,0.3,0.14,0.14,0.28,0.14,0.28,Matches,2020-2021
66,Fabian Bredlow,de GER,GK,Stuttgart,25,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
67,Josip Brekalo,hr CRO,FW,Wolfsburg,22,1998,29,22,"1,814",20.2,7,3,10,7,0,0,1,0,3.6,3.6,3.8,7.4,69,82,155,0.35,0.15,0.5,0.35,0.5,0.18,0.19,0.37,0.18,0.37,Matches,2020-2021
68,Joshua Brenet,cw CUW,DF,Hoffenheim,26,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
69,John Brooks,us USA,DF,Wolfsburg,27,1993,32,31,"2,774",30.8,2,0,2,2,0,0,5,0,1.6,1.6,0.4,2.1,28,144,6,0.06,0,0.06,0.06,0.06,0.05,0.01,0.07,0.05,0.07,Matches,2020-2021
70,Daniel Brosinski,de GER,"DF,FW",Mainz 05,32,1988,21,16,"1,430",15.9,2,1,3,0,2,2,0,0,2,0.4,2.9,3.3,21,64,66,0.13,0.06,0.19,0,0.06,0.12,0.18,0.31,0.02,0.21,Matches,2020-2021
71,Cédric Brunner,ch SUI,DF,Arminia,26,1994,31,30,"2,655",29.5,0,1,1,0,0,0,6,0,0.5,0.5,1.3,1.8,28,87,41,0,0.03,0.03,0,0.03,0.02,0.04,0.06,0.02,0.06,Matches,2020-2021
72,Jacob Bruun Larsen,dk DEN,"MF,FW",Hoffenheim,21,1998,2,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches,2020-2021
73,Marius Bülter,de GER,"FW,MF",Union Berlin,27,1993,26,8,977,10.9,1,0,1,1,0,0,1,0,1.5,1.5,0.9,2.4,24,17,71,0.09,0,0.09,0.09,0.09,0.14,0.08,0.22,0.14,0.22,Matches,2020-2021
74,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,20,2000,29,16,"1,373",15.3,2,0,2,2,0,0,0,0,3.7,3.7,1.9,5.6,39,33,97,0.13,0,0.13,0.13,0.13,0.24,0.13,0.37,0.24,0.37,Matches,2020-2021
75,Nishan Burkart,ch SUI,MF,Freiburg,20,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
76,Roman Bürki,ch SUI,GK,Dortmund,29,1990,19,18,"1,665",18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
77,Kerim Calhanoglu,de GER,DF,Schalke 04,17,2002,4,4,296,3.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,9,13,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,2020-2021
78,Daniel Caligiuri,it ITA,"MF,FW",Augsburg,32,1988,33,31,"2,665",29.6,6,4,10,4,2,3,5,0,4.8,2.4,4.6,7,64,114,136,0.2,0.14,0.34,0.14,0.27,0.16,0.16,0.32,0.08,0.24,Matches,2020-2021
79,Emre Can,de GER,"DF,MF",Dortmund,26,1994,28,23,"2,133",23.7,1,4,5,1,0,0,5,0,1,1,2.9,3.9,53,133,32,0.04,0.17,0.21,0.04,0.21,0.04,0.12,0.17,0.04,0.17,Matches,2020-2021
80,Koen Casteels,be BEL,GK,Wolfsburg,28,1992,32,32,"2,880",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
81,Gonzalo Castro,de GER,MF,Stuttgart,33,1987,26,23,"1,729",19.2,4,2,6,4,0,0,9,0,3.3,3.3,2.8,6.2,55,119,108,0.21,0.1,0.31,0.21,0.31,0.17,0.15,0.32,0.17,0.32,Matches,2020-2021
82,Sava Cestic,rs SRB,DF,Köln,19,2001,11,11,899,10,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,3,19,0,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches,2020-2021
83,Timothy Chandler,us USA,DF,Eint Frankfurt,30,1990,15,3,432,4.8,1,0,1,1,0,0,2,0,0.8,0.8,0.2,1,14,19,45,0.21,0,0.21,0.21,0.21,0.16,0.05,0.22,0.16,0.22,Matches,2020-2021
84,Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,26,1994,12,1,216,2.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,3,6,24,0,0,0,0,0,0.07,0.05,0.12,0.07,0.12,Matches,2020-2021
85,Tahith Chong,cw CUW,"MF,FW",Werder Bremen,20,1999,13,4,386,4.3,0,1,1,0,0,0,1,0,0.3,0.3,0.6,1,12,12,26,0,0.23,0.23,0,0.23,0.08,0.15,0.23,0.08,0.23,Matches,2020-2021
86,Darko Churlinov,mk MKD,"DF,MF",Stuttgart,20,2000,14,0,216,2.4,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,10,6,23,0,0.42,0.42,0,0.42,0.05,0.3,0.34,0.05,0.34,Matches,2020-2021
87,Tim Civeja,al ALB,MF,Augsburg,18,2002,3,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
88,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,24,1996,29,23,"1,752",19.5,5,10,15,5,0,0,1,0,4.2,4.2,6.4,10.6,103,76,268,0.26,0.51,0.77,0.26,0.77,0.21,0.33,0.55,0.21,0.55,Matches,2020-2021
89,Jhon Córdoba,co COL,FW,Hertha BSC,27,1993,21,17,"1,537",17.1,7,1,8,7,0,0,3,0,6.9,6.9,1.6,8.5,22,16,97,0.41,0.06,0.47,0.41,0.47,0.41,0.09,0.5,0.41,0.5,Matches,2020-2021
90,Sergio Córdova,ve VEN,"FW,MF",Arminia,22,1997,23,13,"1,090",12.1,2,1,3,2,0,0,0,0,3.5,3.5,0.9,4.4,17,21,77,0.17,0.08,0.25,0.17,0.25,0.29,0.08,0.36,0.29,0.36,Matches,2020-2021
91,Danny da Costa,de GER,"DF,FW",Mainz 05,27,1993,16,15,"1,208",13.4,0,1,1,0,0,0,2,0,0.1,0.1,2.3,2.5,23,48,41,0,0.07,0.07,0,0.07,0.01,0.17,0.18,0.01,0.18,Matches,2020-2021
