Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
1,Patrick van Aanholt,nl NED,DF,Sunderland,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,Matches,2014-2015
2,Rolando Aarons,eng ENG,MF,Newcastle Utd,18,1995,4,0,132,1.5,1,0,1,1,0,0,1,0,0.68,0,0.68,0.68,0.68,Matches,2014-2015
3,Mehdi Abeid,dz ALG,MF,Newcastle Utd,21,1992,13,7,664,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
4,Charlie Adam,sct SCO,MF,Stoke City,28,1985,29,15,"1,511",16.8,7,1,8,6,1,1,5,0,0.42,0.06,0.48,0.36,0.42,Matches,2014-2015
5,Emmanuel Adebayor,tg TOG,FW,Tottenham,30,1984,13,9,813,9,2,1,3,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,Matches,2014-2015
6,Adrián,es ESP,GK,West Ham,27,1987,38,38,"3,392",37.7,0,0,0,,,,3,1,0,0,0,,,Matches,2014-2015
7,Gabriel Agbonlahor,eng ENG,"FW,MF",Aston Villa,27,1986,34,30,"2,693",29.9,6,1,7,6,0,0,7,1,0.2,0.03,0.23,0.2,0.23,Matches,2014-2015
8,Sergio Agüero,ar ARG,FW,Manchester City,26,1988,33,30,"2,531",28.1,26,8,34,21,5,6,4,0,0.92,0.28,1.21,0.75,1.03,Matches,2014-2015
9,Nathan Aké,nl NED,"DF,MF",Chelsea,19,1995,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
10,Chuba Akpom,eng ENG,"FW,MF",Arsenal,18,1995,3,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
11,Marc Albrighton,eng ENG,"DF,FW",Leicester City,24,1989,18,10,"1,031",11.5,2,3,5,2,0,0,3,0,0.17,0.26,0.44,0.17,0.44,Matches,2014-2015
12,Antolín Alcaraz,py PAR,DF,Everton,32,1982,8,6,527,5.9,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches,2014-2015
13,Toby Alderweireld,be BEL,DF,Southampton,25,1989,26,26,"2,261",25.1,1,0,1,1,0,0,3,0,0.04,0,0.04,0.04,0.04,Matches,2014-2015
14,Joe Allen,wls WAL,MF,Liverpool,24,1990,21,16,"1,470",16.3,1,0,1,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches,2014-2015
15,Jak Alnwick,eng ENG,GK,Newcastle Utd,21,1993,6,5,495,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
16,Jozy Altidore,us USA,FW,Sunderland,24,1989,11,2,311,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
17,Sone Aluko,ng NGA,"FW,MF",Hull City,25,1989,25,13,"1,242",13.8,1,0,1,1,0,0,2,0,0.07,0,0.07,0.07,0.07,Matches,2014-2015
18,Ricky Álvarez,ar ARG,MF,Sunderland,26,1988,13,5,497,5.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2014-2015
19,Morgan Amalfitano,fr FRA,MF,West Ham,29,1985,24,14,"1,184",13.2,3,1,4,3,0,0,3,0,0.23,0.08,0.3,0.23,0.3,Matches,2014-2015
20,Jordi Amat,id IDN,DF,Swansea City,22,1992,10,7,588,6.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2014-2015
21,Sammy Ameobi,eng ENG,"FW,MF",Newcastle Utd,22,1992,25,15,"1,418",15.8,2,2,4,2,0,0,2,0,0.13,0.13,0.25,0.13,0.25,Matches,2014-2015
22,Shola Ameobi,ng NGA,FW,Crystal Palace,32,1981,4,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
23,Anderson,br BRA,MF,Manchester Utd,26,1988,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
24,Victor Anichebe,ng NGA,FW,West Brom,26,1988,21,11,"1,035",11.5,3,1,4,3,0,0,0,0,0.26,0.09,0.35,0.26,0.35,Matches,2014-2015
25,Vurnon Anita,cw CUW,"DF,MF",Newcastle Utd,25,1989,19,17,"1,266",14.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2014-2015
