Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
1,Sergio Abad Beyxer,es ESP,MF,Levante,21,1989,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
2,Damià Abella,es ESP,"DF,MF",Osasuna,28,1982,27,22,"1,934",21.5,0,0,0,0,0,0,8,1,0,0,0,0,0,Matches,2010-2011
3,Éric Abidal,fr FRA,DF,Barcelona,30,1979,26,23,"2,023",22.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2010-2011
4,Santiago Acasiete,pe PER,DF,Almería,32,1977,20,17,"1,598",17.8,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,2010-2011
5,Lautaro Acosta,ar ARG,"FW,MF",Sevilla,22,1988,10,2,283,3.1,0,1,1,0,0,0,3,0,0,0.32,0.32,0,0.32,Matches,2010-2011
6,Antonio Adán,es ESP,GK,Real Madrid,23,1987,3,2,260,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
7,Emmanuel Adebayor,tg TOG,FW,Real Madrid,26,1984,14,6,744,8.3,5,0,5,5,0,1,0,0,0.6,0,0.6,0.6,0.6,Matches,2010-2011
8,Adriano,br BRA,"DF,MF",Barcelona,25,1984,14,11,937,10.4,0,1,1,0,0,0,3,0,0,0.1,0.1,0,0.1,Matches,2010-2011
9,Aritz Aduriz,es ESP,FW,Valencia,29,1981,29,20,"1,846",20.5,10,2,12,10,0,0,6,1,0.49,0.1,0.59,0.49,0.59,Matches,2010-2011
10,Ibrahim Afellay,nl NED,"FW,MF",Barcelona,24,1986,16,7,669,7.4,1,0,1,1,0,0,1,0,0.13,0,0.13,0.13,0.13,Matches,2010-2011
11,Sendoa Agirre,es ESP,MF,Hércules,34,1975,23,7,793,8.8,3,1,4,3,0,0,1,0,0.34,0.11,0.45,0.34,0.45,Matches,2010-2011
12,Imanol Agirretxe,es ESP,FW,Real Sociedad,23,1987,11,1,214,2.4,3,0,3,3,0,0,0,0,1.26,0,1.26,1.26,1.26,Matches,2010-2011
13,Sergio Agüero,ar ARG,FW,Atlético Madrid,22,1988,32,31,"2,662",29.6,20,3,23,19,1,1,6,0,0.68,0.1,0.78,0.64,0.74,Matches,2010-2011
14,Abel Aguilar,co COL,MF,Hércules,25,1985,34,33,"2,862",31.8,0,1,1,0,0,0,11,1,0,0.03,0.03,0,0.03,Matches,2010-2011
15,Jordi Alba,es ESP,"DF,MF",Valencia,21,1989,27,14,"1,428",15.9,2,1,3,2,0,0,6,0,0.13,0.06,0.19,0.13,0.19,Matches,2010-2011
16,Unai Alba,es ESP,GK,Hércules,32,1978,2,1,101,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
17,David Albelda,es ESP,"DF,MF",Valencia,32,1977,16,12,"1,044",11.6,0,1,1,0,0,0,9,1,0,0.09,0.09,0,0.09,Matches,2010-2011
18,Luis Alberto,es ESP,"FW,MF",Sevilla,17,1992,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
19,Raúl Albiol,es ESP,DF,Real Madrid,24,1985,20,13,"1,158",12.9,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches,2010-2011
20,Thiago Alcántara,es ESP,MF,Barcelona,19,1991,12,6,666,7.4,2,0,2,2,0,0,1,0,0.27,0,0.27,0.27,0.27,Matches,2010-2011
21,Alexis,es ESP,DF,Sevilla,24,1985,21,21,"1,836",20.4,0,0,0,0,0,0,9,1,0,0,0,0,0,Matches,2010-2011
22,Alejandro Alfaro,es ESP,"FW,MF",Sevilla,23,1986,20,8,727,8.1,2,2,4,2,0,0,1,0,0.25,0.25,0.5,0.25,0.5,Matches,2010-2011
23,Iván Alonso,uy URU,FW,Espanyol,31,1979,20,10,829,9.2,2,0,2,2,0,0,2,0,0.22,0,0.22,0.22,0.22,Matches,2010-2011
24,Xabi Alonso,es ESP,MF,Real Madrid,28,1981,34,29,"2,665",29.6,0,5,5,0,0,0,12,0,0,0.17,0.17,0,0.17,Matches,2010-2011
25,Jozy Altidore,us USA,FW,Villarreal,20,1989,3,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2010-2011
26,Cristian Álvarez,ar ARG,GK,Espanyol,24,1985,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2010-2011
27,Pablo Álvarez,es ESP,MF,La Coruña,30,1980,17,3,403,4.5,1,1,2,1,0,0,2,1,0.22,0.22,0.45,0.22,0.45,Matches,2010-2011
28,Sergio Álvarez,es ESP,"DF,MF",Sporting Gijón,18,1992,8,3,253,2.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2010-2011
29,Víctor Álvarez,es ESP,"DF,MF",Espanyol,17,1993,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
30,Dani Alves,br BRA,"DF,MF",Barcelona,27,1983,35,31,"2,905",32.3,2,14,16,2,0,0,10,0,0.06,0.43,0.5,0.06,0.5,Matches,2010-2011
31,Diego Alves,br BRA,GK,Almería,25,1985,33,33,"2,970",33,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches,2010-2011
32,Luis Amaranto Perea,co COL,DF,Atlético Madrid,31,1979,28,28,"2,397",26.6,0,0,0,0,0,0,11,1,0,0,0,0,0,Matches,2010-2011
33,Jordi Amat,id IDN,DF,Espanyol,18,1992,26,23,"2,152",23.9,0,0,0,0,0,0,9,0,0,0,0,0,0,Matches,2010-2011
34,Fernando Amorebieta,ve VEN,DF,Athletic Club,25,1985,17,16,"1,389",15.4,0,0,0,0,0,0,7,1,0,0,0,0,0,Matches,2010-2011
35,Juan Ángel Albín,uy URU,"FW,MF",Getafe,24,1986,18,4,713,7.9,2,1,3,2,0,0,2,1,0.25,0.13,0.38,0.25,0.38,Matches,2010-2011
36,José Ángel,es ESP,"DF,MF",Sporting Gijón,20,1989,26,23,"2,142",23.8,0,2,2,0,0,0,10,1,0,0.08,0.08,0,0.08,Matches,2010-2011
37,Miguel Ángel Moyá,es ESP,GK,Valencia,26,1984,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
38,Miguel Ángel Nieto,es ESP,MF,Almería,24,1986,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
39,Xavi Annunziata,es ESP,"FW,MF",Osasuna,22,1987,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
40,Ion Ansotegi,es ESP,DF,Real Sociedad,28,1982,32,32,"2,808",31.2,1,1,2,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,Matches,2010-2011
