Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
1,Kassim Abdallah,km COM,DF,Evian,27,1987,30,29,"2,581",28.7,0,3,3,0,0,0,5,1,0,0.1,0.1,0,0.1,Matches,2014-2015
2,Aymen Abdennour,tn TUN,DF,Monaco,24,1989,18,17,"1,525",16.9,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches,2014-2015
3,Rafidine Abdullah,km COM,MF,Lorient,20,1994,23,18,"1,522",16.9,0,1,1,0,0,0,6,0,0,0.06,0.06,0,0.06,Matches,2014-2015
4,Vincent Aboubakar,cm CMR,FW,Lorient,22,1992,2,2,180,2,1,0,1,0,1,1,1,0,0.5,0,0.5,0,0,Matches,2014-2015
5,Karim Achahbar,ma MAR,FW,Guingamp,18,1996,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
6,Jordan Adéoti,bj BEN,"DF,MF",Caen,25,1989,28,18,"1,746",19.4,0,1,1,0,0,0,5,0,0,0.05,0.05,0,0.05,Matches,2014-2015
7,Kossi Agassa,tg TOG,GK,Reims,36,1978,17,16,"1,440",16,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
8,Abel Aguilar,co COL,MF,Toulouse,29,1985,21,18,"1,663",18.5,0,1,1,0,0,0,5,0,0,0.05,0.05,0,0.05,Matches,2014-2015
9,Ali Ahamada,km COM,GK,Toulouse,22,1991,23,23,"2,070",23,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
10,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,21,1992,32,25,"2,415",26.8,2,3,5,2,0,0,5,0,0.07,0.11,0.19,0.07,0.19,Matches,2014-2015
11,Mads Albæk,dk DEN,MF,Reims,24,1990,12,8,646,7.2,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches,2014-2015
12,Romain Alessandrini,fr FRA,"FW,MF",Marseille,25,1989,26,13,"1,264",14,3,4,7,3,0,0,1,0,0.21,0.28,0.5,0.21,0.5,Matches,2014-2015
13,Chaker Alhadhur,km COM,"DF,MF",Nantes,22,1991,15,12,"1,103",12.3,0,0,0,0,0,1,3,1,0,0,0,0,0,Matches,2014-2015
14,Rachid Alioui,ma MAR,FW,Guingamp,22,1992,7,2,213,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
15,Baptiste Aloé,fr FRA,DF,Marseille,20,1994,14,4,461,5.1,1,0,1,1,0,0,2,0,0.2,0,0.2,0.2,0.2,Matches,2014-2015
16,Jordan Amavi,fr FRA,DF,Nice,20,1994,36,36,"3,232",35.9,4,0,4,4,0,0,11,0,0.11,0,0.11,0.11,0.11,Matches,2014-2015
17,Gaël Andonian,am ARM,DF,Marseille,19,1995,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
18,Federico Andrada,ar ARG,FW,Metz,20,1994,12,2,292,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
19,Benjamin André,fr FRA,"DF,MF",Rennes,23,1990,22,16,"1,362",15.1,1,0,1,1,0,0,4,0,0.07,0,0.07,0.07,0.07,Matches,2014-2015
20,Benjamin Angoua,ci CIV,DF,Guingamp,27,1986,21,16,"1,539",17.1,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches,2014-2015
21,Aldo Angoula,fr FRA,DF,Evian,33,1981,8,7,587,6.5,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches,2014-2015
22,Dennis Appiah,fr FRA,"DF,MF",Caen,22,1992,30,29,"2,571",28.6,0,2,2,0,0,0,3,1,0,0.07,0.07,0,0.07,Matches,2014-2015
23,Alphonse Areola,fr FRA,GK,Bastia,21,1993,35,35,"3,150",35,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2014-2015
24,Fernando Aristeguieta,ve VEN,FW,Nantes,22,1992,6,2,171,1.9,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches,2014-2015
25,Sylvain Armand,fr FRA,DF,Rennes,33,1980,36,36,"3,240",36,1,0,1,1,0,0,4,0,0.03,0,0.03,0.03,0.03,Matches,2014-2015
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2014-2015
26,Eliran Atar,il ISR,FW,Reims,27,1987,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
