Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,Yunis Abdelhamid,ma MAR,DF,Reims,31,1987,28,28,"2,520",28,3,0,3,3,0,0,0,0,1.7,1.7,1.2,2.9,21,96,6,0.11,0,0.11,0.11,0.11,0.06,0.04,0.1,0.06,0.1,Matches,2019-2020
2,Mehdi Abeid,dz ALG,MF,Nantes,26,1992,25,20,"1,817",20.2,1,2,3,1,0,0,5,0,1.5,1.5,1.8,3.3,25,104,42,0.05,0.1,0.15,0.05,0.15,0.07,0.09,0.16,0.07,0.16,Matches,2019-2020
3,Charles Abi,fr FRA,FW,Saint-Étienne,19,2000,15,6,623,6.9,0,0,0,0,0,0,2,0,0.3,0.3,1.2,1.5,12,10,33,0,0,0,0,0,0.05,0.17,0.22,0.05,0.22,Matches,2019-2020
4,Amine Adli,ma MAR,"MF,FW",Toulouse,19,2000,4,0,46,0.5,0,0,0,0,0,0,1,0,0,0,0.1,0.1,4,3,5,0,0,0,0,0,0,0.13,0.13,0,0.13,Matches,2019-2020
5,Yacine Adli,fr FRA,MF,Bordeaux,19,2000,21,11,"1,020",11.3,3,3,6,3,0,0,3,0,0.8,0.8,2.2,3,38,65,47,0.26,0.26,0.53,0.26,0.53,0.07,0.19,0.26,0.07,0.26,Matches,2019-2020
6,Nayef Aguerd,ma MAR,DF,Dijon,23,1996,11,11,957,10.6,1,0,1,1,0,0,2,0,0.3,0.3,0,0.3,0,27,0,0.09,0,0.09,0.09,0.09,0.03,0,0.03,0.03,0.03,Matches,2019-2020
7,Ruben Aguilar,fr FRA,DF,Monaco,26,1993,19,11,"1,072",11.9,0,2,2,0,0,0,2,2,0.2,0.2,1.8,2,32,52,80,0,0.17,0.17,0,0.17,0.02,0.15,0.17,0.02,0.17,Matches,2019-2020
8,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,25,1994,11,8,630,7,1,1,2,1,0,0,3,1,0.7,0.7,0.5,1.2,14,34,15,0.14,0.14,0.29,0.14,0.29,0.1,0.08,0.17,0.1,0.17,Matches,2019-2020
9,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,23,1996,12,6,536,6,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,6,47,6,0,0.17,0.17,0,0.17,0.01,0.02,0.03,0.01,0.03,Matches,2019-2020
10,Rayan Aït-Nouri,dz ALG,DF,Angers,18,2001,17,16,"1,282",14.2,0,2,2,0,0,0,3,0,0.2,0.2,0.7,0.8,45,56,69,0,0.14,0.14,0,0.14,0.01,0.05,0.06,0.01,0.06,Matches,2019-2020
11,Ludovic Ajorque,fr FRA,FW,Strasbourg,25,1994,26,24,"2,058",22.9,8,4,12,7,1,1,3,0,7.2,6.4,2.8,9.2,21,30,137,0.35,0.17,0.52,0.31,0.48,0.31,0.12,0.43,0.28,0.4,Matches,2019-2020
12,Marley Aké,fr FRA,"FW,MF",Marseille,18,2001,9,0,99,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,4,6,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches,2019-2020
