Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
1,Ignazio Abate,it ITA,"DF,MF",Milan,29,1986,23,22,"1,924",21.4,0,2,2,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches,2016-2017
2,Francesco Acerbi,it ITA,DF,Sassuolo,28,1988,38,38,"3,420",38,4,0,4,3,1,1,2,0,0.11,0,0.11,0.08,0.08,Matches,2016-2017
3,Maxwell Acosty,gh GHA,"FW,MF",Crotone,24,1991,11,3,378,4.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2016-2017
4,Afriyie Acquah,gh GHA,MF,Torino,24,1992,20,13,"1,077",12,2,0,2,2,0,0,8,3,0.17,0,0.17,0.17,0.17,Matches,2016-2017
5,Claud Adjapong,it ITA,"DF,MF",Sassuolo,18,1998,9,6,510,5.7,1,0,1,1,0,0,3,0,0.18,0,0.18,0.18,0.18,Matches,2016-2017
6,Ali Adnan Kadhim,iq IRQ,"DF,MF",Udinese,22,1993,14,8,872,9.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2016-2017
7,Luiz Adriano,br BRA,"FW,MF",Milan,29,1987,7,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
8,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,25,1990,29,20,"2,033",22.6,0,3,3,0,0,0,2,0,0,0.13,0.13,0,0.13,Matches,2016-2017
9,Arlind Ajeti,al ALB,DF,Torino,22,1993,4,3,251,2.8,1,0,1,1,0,0,1,0,0.36,0,0.36,0.36,0.36,Matches,2016-2017
10,Luis Alberto,es ESP,"FW,MF",Lazio,23,1992,9,4,365,4.1,1,2,3,1,0,0,0,0,0.25,0.49,0.74,0.25,0.74,Matches,2016-2017
11,Raúl Albiol,es ESP,DF,Napoli,30,1985,26,25,"2,297",25.5,0,1,1,0,0,0,8,0,0,0.04,0.04,0,0.04,Matches,2016-2017
12,Haitam Aleesami,no NOR,"DF,MF",Palermo,25,1991,31,29,"2,630",29.2,1,3,4,1,0,0,6,0,0.03,0.1,0.14,0.03,0.14,Matches,2016-2017
13,Allan,br BRA,"DF,MF",Napoli,25,1991,29,19,"1,610",17.9,1,6,7,1,0,0,3,0,0.06,0.34,0.39,0.06,0.39,Matches,2016-2017
14,Marcos Alonso,es ESP,"DF,MF",Fiorentina,25,1990,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
