Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Bayern Munich,6,6,0,0,25,3,22,18,3,16.4,3.2,13.2,2.19,"W
 W
 W
 W
 W","75,000",Harry Kane - 11,Manuel Neuer,
2,Dortmund,6,4,2,0,12,4,8,14,2.33,10.1,5.1,5,0.84,"W
 W
 W
 W
 D","81,365",Serhou Guirassy - 4,Gregor Kobel,
3,RB Leipzig,6,4,1,1,8,8,0,13,2.17,11.1,9.3,1.8,0.3,"W
 W
 W
 W
 D","45,306","Christoph Baumgartner, Johan Bakayoko... - 2",Péter Gulácsi,
4,Stuttgart,6,4,0,2,8,6,2,12,2,7.9,6.3,1.6,0.26,"W
 L
 W
 W
 W","60,000",Ermedin Demirović - 3,Alexander Nübel,
5,Leverkusen,6,3,2,1,12,8,4,11,1.83,10.1,6.3,3.7,0.62,"D
 W
 D
 W
 W","30,005",Patrik Schick - 3,Mark Flekken,
6,Köln,6,3,1,2,11,9,2,10,1.67,9,10.1,-1,-0.17,"W
 D
 L
 L
 W","50,000",Jakub Kamiński - 3,Marvin Schwäbe,
7,Eint Frankfurt,6,3,0,3,17,16,1,9,1.5,10.1,9,1.1,0.18,"W
 L
 L
 W
 L","59,500",Can Uzun - 5,"Michael Zetterer, Kauã Santos",
8,Freiburg,6,2,2,2,9,9,0,8,1.33,9.2,8,1.2,0.19,"L
 W
 W
 D
 D","34,000","Vincenzo Grifo, Igor Matanovic - 2",Noah Atubolu,
9,Hamburger SV,6,2,2,2,6,8,-2,8,1.33,6.4,9.9,-3.4,-0.57,"L
 L
 W
 D
 W","57,000",Rayan Philippe - 3,Daniel Heuer Fernandes,
10,St. Pauli,6,2,1,3,8,9,-1,7,1.17,7,7.5,-0.5,-0.09,"W
 W
 L
 L
 L","29,546",Andreas Hountondji - 3,Nikola Vasilj,
11,Hoffenheim,6,2,1,3,9,12,-3,7,1.17,9,10.2,-1.2,-0.2,"L
 W
 L
 D
 L","30,150",Fisnik Asllani - 4,Oliver Baumann,
12,Werder Bremen,6,2,1,3,9,14,-5,7,1.17,8.7,12.8,-4.2,-0.69,"D
 W
 L
 L
 W","41,567","Romano Schmid, Justin Njinmah... - 2",Mio Backhaus,
13,Union Berlin,6,2,1,3,8,13,-5,7,1.17,7.9,12.7,-4.8,-0.8,"L
 L
 W
 D
 L","21,919",Ilyas Ansah - 4,Frederik Rønnow,
14,Augsburg,6,2,0,4,11,13,-2,6,1,6.3,13.4,-7.1,-1.18,"L
 L
 L
 L
 W","29,341",Mert Kömür - 2,Finn Dahmen,
15,Wolfsburg,6,1,2,3,8,10,-2,5,0.83,9.5,9.5,0,0,"D
 D
 L
 L
 L","24,682",Mohamed Amoura - 2,Kamil Grabara,
16,Mainz 05,6,1,1,4,5,10,-5,4,0.67,8.1,8.2,-0.1,-0.01,"D
 L
 W
 L
 L","32,203","Dominik Kohr, Nadiem Amiri... - 1",Robin Zentner,
17,Gladbach,6,0,3,3,5,12,-7,3,0.5,7.4,8.2,-0.8,-0.13,"L
 L
 D
 L
 D","51,362",Haris Tabakovic - 2,Moritz Nicolas,
18,Heidenheim,6,1,0,5,4,11,-7,3,0.5,6.8,11.2,-4.4,-0.74,"L
 L
 L
 W
 L","14,333","Sirlord Conteh, Mikkel Kaufmann... - 1",Diant Ramaj,
