Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Francesco Acerbi,it ITA,DF,it Inter,37-250,1988,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Joshua Acheampong,eng ENG,DF,eng Chelsea,19-166,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Elias Achouri,tn TUN,MF,dk FC Copenhagen,26-250,1999,2,1,100,1.1,0,1,1,0,0,0,0,0,0,0,0.6,0.6,7,5,8,0,0.9,0.9,0,0.9,0.03,0.51,0.53,0.03,0.53,Matches
4,Tosin Adarabioyo,eng ENG,DF,eng Chelsea,28-024,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
5,Emmanuel Addai,gh GHA,FW,az Qarabağ,24-078,2001,2,0,46,0.5,1,0,1,1,0,0,0,0,0,0,0.6,0.7,2,1,3,1.96,0,1.96,1.96,1.96,0.08,1.23,1.32,0.08,1.32,Matches
6,Karim Adeyemi,de GER,MF,de Dortmund,23-273,2002,2,2,152,1.7,1,2,3,1,0,0,0,0,0.1,0.1,0.4,0.6,5,4,12,0.59,1.18,1.78,0.59,1.78,0.08,0.25,0.33,0.08,0.33,Matches
7,Vasilije Adžić,me MNE,MF,it Juventus,19-159,2006,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,Matches
8,Nayef Aguerd,ma MAR,DF,fr Marseille,29-202,1996,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Honest Ahanor,it ITA,DF,it Atalanta,17-237,2008,2,1,96,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,4,1,0,0,0,0,0,0.08,0.02,0.1,0.08,0.1,Matches
10,Manuel Akanji,ch SUI,DF,it Inter,30-091,1995,2,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Nathan Aké,nl NED,DF,eng Manchester City,30-242,1995,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
12,Yunus Akgün,tr TUR,FW,tr Galatasaray,25-103,2000,2,2,148,1.6,1,0,1,1,0,0,0,0,0.2,0.2,0.4,0.6,0,6,10,0.61,0,0.61,0.61,0.61,0.15,0.24,0.39,0.15,0.39,Matches
13,Ilias Akhomach,ma MAR,MF,es Villarreal,21-185,2004,2,0,31,0.3,0,1,1,0,0,0,1,0,0,0,0.3,0.3,0,0,7,0,2.9,2.9,0,2.9,0,0.74,0.74,0,0.74,Matches
14,Maghnes Akliouche,fr FRA,MF,fr Monaco,23-235,2002,2,2,180,2,0,0,0,0,0,1,0,0,1,0.2,0.2,0.4,3,10,8,0,0,0,0,0,0.5,0.08,0.58,0.1,0.19,Matches
15,David Alaba,at AUT,DF,es Real Madrid,33-116,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Haitam Aleesami,no NOR,DF,no Bodø/Glimt,34-079,1991,2,2,173,1.9,0,0,0,0,0,0,1,0,0,0,0.1,0.1,5,5,4,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
