UCL_progress,Squad
League,Bayern Munich
League,Real Madrid
League,Paris S-G
League,Inter
League,Arsenal
League,Qarabao
League,Dortmund
League,Manchester City
League,Tottenham
League,Atletico Madrid
League,Marseille
League,Newcastle United
League,Club Brugge
League,Sporting CP
League,Eint Frankfurt
League,Barcelona
League,Liverpool
League,Chelsea
League,Napoli
League,Union SG
League,Atalanta
League,Galatasaray
League,Juventus
League,Bodo/Glimt
League,Leverkusen
League,Villarreal
League,FC Coppenhagen
League,PSV Eindhoven
League,Olympiacos
League,Monaco
League,Slavia Prague
League,Pafos FC
League,Benfica
League,Athletic Club
League,Ajax
League,Qairat Almaty
League,
