Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,UCL_progress,Season,,,,
1,es  Barcelona,13,8,4,1,30,9,21,28,,Lionel Messi - 12,Víctor Valdés,Winner,2010-2011,,,,
,,,,,,,,,,,,,,2010-2011,,,,
2,eng  Manchester Utd,13,6,6,1,19,7,12,24,,"Javier Hernández, Wayne Rooney - 4",Edwin van der Sar,Runner up,2010-2011,,,,
,,,,,,,,,,,,,,2010-2011,,,,
3,es  Real Madrid,12,7,4,1,25,6,19,25,,"Karim Benzema, Cristiano Ronaldo - 6",Iker Casillas,Semi Finalist,2010-2011,,,,
4,de  Schalke 04,12,5,4,3,22,14,8,19,,Raúl - 5,Manuel Neuer,Semi Finalist,2010-2011,,,,
,,,,,,,,,,,,,,2010-2011,,,,
5,ua  Shakhtar,10,6,2,2,19,14,5,20,,"Eduardo da Silva, Luiz Adriano - 4",Andriy Pyatov,Quarter Finalist,2010-2011,,,,
6,eng  Chelsea,10,6,1,3,17,7,10,19,,Nicolas Anelka - 7,Petr Čech,Quarter Finalist,2010-2011,,,,
7,eng  Tottenham,12,4,5,3,25,19,6,17,,"Gareth Bale, Peter Crouch - 4",Heurelho Gomes,Quarter Finalist,2010-2011,,,,
8,it  Inter,10,4,1,5,18,21,-3,13,,Samuel Eto'o - 8,Júlio César,Quarter Finalist,2010-2011,,,,
,,,,,,,,,,,,,,2010-2011,,,,
9,de  Bayern Munich,8,6,1,1,19,9,10,19,,Mario Gómez - 8,"Hans-Jörg Butt, Thomas Kraft",Round of 16,2010-2011,,,,
10,eng  Arsenal,8,5,0,3,21,11,10,15,,"Cesc Fàbregas, Andrey Arshavin... - 3",Łukasz Fabiański,Round of 16,2010-2011,,,,
11,dk  FC Copenhagen,12,3,5,4,12,11,1,14,,"Dame N'Doye, Martin Vingaard - 2",Johan Wiland,Round of 16,2010-2011,,,,
12,fr  Marseille,8,4,1,3,13,5,8,13,,André-Pierre Gignac - 3,Steve Mandanda,Round of 16,2010-2011,,,,
13,es  Valencia,8,3,3,2,17,8,9,12,,Roberto Soldado - 6,César Sánchez,Round of 16,2010-2011,,,,
14,fr  Lyon,8,3,2,3,12,14,-2,11,,Michel Bastos - 3,Hugo Lloris,Round of 16,2010-2011,,,,
15,it  Roma,8,3,1,4,12,17,-5,10,,Marco Borriello - 4,"Bogdan Lobonț, Júlio Sérgio",Round of 16,2010-2011,,,,
16,it  Milan,8,2,3,3,7,8,-1,9,,Zlatan Ibrahimović - 4,Christian Abbiati,Round of 16,2010-2011,,,,
,,,,,,,,,,,,,,2010-2011,,,,
17,pt  Braga,10,6,0,4,14,16,-2,18,,Matheus Leite Nascimento - 3,Felipe,Group Stage,2010-2011,,,,
18,il  Hapoel Tel Aviv,12,4,4,4,20,15,5,16,,Eran Zahavi - 3,Vincent Enyeama,Group Stage,2010-2011,,,,
19,ch  Basel,10,5,1,4,17,12,5,16,,Alexander Frei - 3,Franco Costanzo,Group Stage,2010-2011,,,,
20,rs  Partizan,12,4,2,6,15,19,-4,14,,Cléo - 2,Vladimir Stojković,Group Stage,2010-2011,,,,
21,nl  Ajax,10,2,5,3,13,16,-3,11,,"Toby Alderweireld, Demy de Zeeuw - 2",Maarten Stekelenburg,Group Stage,2010-2011,,,,
22,ru  Spartak Moscow,6,3,0,3,7,10,-3,9,,"Ari, Ibson - 2",Andriy Dykan,Group Stage,2010-2011,,,,
23,de  Werder Bremen,8,2,2,4,11,16,-5,8,,Marko Arnautović - 2,Tim Wiese,Group Stage,2010-2011,,,,
24,sk  MŠK Žilina,12,1,4,7,13,22,-9,7,,"Bello Babatounde, Tomáš Majtán... - 1",Martin Dúbravka,Group Stage,2010-2011,,,,
25,nl  Twente,6,1,3,2,9,11,-2,6,,Nacer Chadli - 3,Nikolay Mihaylov,Group Stage,2010-2011,,,,
26,ru  Rubin Kazan,6,1,3,2,2,4,-2,6,,Christian Noboa - 2,Sergey Ryzhikov,Group Stage,2010-2011,,,,
27,sct  Rangers,6,1,3,2,3,6,-3,6,,"Maurice Edu, Kenny Miller... - 1",Allan McGregor,Group Stage,2010-2011,,,,
28,pt  Benfica,6,2,0,4,7,12,-5,6,,"Fábio Coentrão, Luisão - 2",Roberto,Group Stage,2010-2011,,,,
29,ro  CFR Cluj,6,1,1,4,6,12,-6,4,,"Ionuț Rada, Lacina Traoré - 2","Nuno Claro, Eduard Stăncioiu",Group Stage,2010-2011,,,,
30,fr  Auxerre,8,1,1,6,5,13,-8,4,,"Valter Birsa, Steeven Langil... - 1",Olivier Sorin,Group Stage,2010-2011,,,,
31,gr  Panathinaikos,6,0,2,4,2,13,-11,2,,"Cédric Kanté, Sidney Govou - 1",Alexandros Tzorvas,Group Stage,2010-2011,,,,
