iter	Passed	Remaining
0	85	16920
1	88	8720
2	91	6026
3	95	4686
4	99	3862
5	102	3320
6	105	2917
7	108	2610
8	112	2387
9	115	2198
10	118	2044
11	122	1912
12	124	1792
13	127	1694
14	130	1606
15	132	1519
16	134	1448
17	136	1382
18	138	1323
19	141	1271
20	143	1221
21	145	1175
22	147	1133
23	148	1092
24	150	1053
25	152	1020
26	154	988
27	156	958
28	157	928
29	159	902
30	160	876
31	162	851
32	163	828
33	165	805
34	166	784
35	167	763
36	168	744
37	170	724
38	171	706
39	172	690
40	173	674
41	174	657
42	175	642
43	176	627
44	178	613
45	179	599
46	180	587
47	181	574
48	182	562
49	183	551
50	184	539
51	185	529
52	186	518
53	188	508
54	189	498
55	190	488
56	191	479
57	192	470
58	193	462
59	194	453
60	195	445
61	196	437
62	197	429
63	198	422
64	200	415
65	201	408
66	202	401
67	203	395
68	204	388
69	205	382
70	207	376
71	208	369
72	209	363
73	210	358
74	211	353
75	213	347
76	214	342
77	215	336
78	216	331
79	217	326
80	219	321
81	220	316
82	221	311
83	222	307
84	223	302
85	224	297
86	226	293
87	227	289
88	228	285
89	230	281
90	231	277
91	232	273
92	233	269
93	235	265
94	236	260
95	237	257
96	238	253
97	239	249
98	241	246
99	242	242
100	243	238
101	244	235
102	245	231
103	247	228
104	248	224
105	249	221
106	250	217
107	251	214
108	252	210
109	253	207
110	254	204
111	255	201
112	257	198
113	258	194
114	259	191
115	260	188
116	261	185
117	262	182
118	264	179
119	265	176
120	266	173
121	267	171
122	268	168
123	270	165
124	271	163
125	272	160
126	273	157
127	274	154
128	276	151
129	277	149
130	278	146
131	279	144
132	280	141
133	281	138
134	282	136
135	284	133
136	285	131
137	286	128
138	287	126
139	288	123
140	289	121
141	290	118
142	291	116
143	292	113
144	294	111
145	295	109
146	296	106
147	297	104
148	298	102
149	299	99
150	300	97
151	301	95
152	303	93
153	304	90
154	305	88
155	306	86
156	307	84
157	308	82
158	310	79
159	311	77
160	312	75
161	313	73
162	314	71
163	315	69
164	317	67
165	318	65
166	319	63
167	320	61
168	322	59
169	323	57
170	324	55
171	326	53
172	327	51
173	328	49
174	329	47
175	330	45
176	331	43
177	333	41
178	334	39
179	335	37
180	336	35
181	337	33
182	339	31
183	340	29
184	341	27
185	342	25
186	343	23
187	344	21
188	345	20
189	346	18
190	347	16
191	348	14
192	350	12
193	351	10
194	352	9
195	353	7
196	354	5
197	355	3
198	357	1
199	358	0
